"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-483A2A51","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: widespread","","","","","IOC 8.2","http://www.worldbirdnames.org/"
"avibase-483A2A51","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: widespread","","","","","IOC 9.1","http://www.worldbirdnames.org/"
"avibase-483A2A51","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, savannas, forest clearings wherever there are palms: all S of Sahara except NE of S Ethiopia and S of N Namibia to NE South Afirca; Madagascar (gracilis); Comoro Is (griveaudi).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-483A2A51","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-483A2A51","HABITAT","DESCR","Habitat","Habitat description","palm trees, open country, savanna, towns","","","","","Sibley 1996",""
"avibase-483A2A51","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-483A2A51","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-483A2A51","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-483A2A51","BODY","MASS","Body measurements","Body mass","13.6","g","13.6","14","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","BODY","MASS_U","Body measurements","Body mass (sex unknown)","13.6","g","13.6","14","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","BODY","SVL","Body measurements","Snout-to-vent length (adults)","16","cm","16","16","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","EGGS","MASS","Eggs","Egg mass","1.36","g","1.36","1.36","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","REPROD","CLUTCHSZ","Reproduction","Clutch size","2.4","n","2","2.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","REPROD","FLEDGING","Reproduction","Fledging period","31","days","31","31","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-483A2A51","REPROD","INCUBATION","Reproduction","Incubation period","20","days","20","20","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
