"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2B64CDA1","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa s of the Sahara to Iran; Madagascar","","","","","Clements 2004",""
"avibase-2B64CDA1","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, near water: all S of Sahara except parts of Namibia, W South Africa, NE Somalia (aethiopicus); W Madagascar (bernieri); Aldabra (abbotti); feral population on E Canary Is.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-2B64CDA1","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: widespread","","","","","IOC 1.01","http://worldbirdnames.org/"
"avibase-2B64CDA1","HABITAT","DESCR","Habitat","Habitat description","open moist areas, cultivated fields, plains, rivers, coastal lagoons","","","","","Sibley 1996",""
"avibase-2B64CDA1","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","14.6","cm","","","8","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","17","cm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","MASS_M","Body measurements","Body mass (males)","1530","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","TAIL_F","Body measurements","Tail length (females)","13.1","cm","","","4","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","TAIL_M","Body measurements","Tail length (males)","13.37","cm","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","TARSUS_F","Body measurements","Tarsus length (females)","9.8","cm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","TARSUS_M","Body measurements","Tarsus length (males)","10.8","cm","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","WING_F","Body measurements","Wing length (females)","36.2","cm","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","BODY","WING_M","Body measurements","Wing length (males)","38.3","cm","","","2","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","EGGS","MASS","Eggs","Egg mass","62","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2B64CDA1","REPROD","CLUTCHSZ","Reproduction","Clutch size","2.24","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
