"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F1E7B851","DISTRIB","ANNUAL","Species distribution","Geographical range","Amazonian Brazil (south of the Amazon, on the east bank of the Madeira River)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F1E7B851","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.13","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-7.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-61.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","DISTRIB","RANGE_SIZE","Species distribution","Total range size","85370.42","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","HABITAT","DESCR","Habitat","Habitat description","NA","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.369333","cm","0.343","0.394","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.39525","cm","0.367","0.416","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.384143","cm","0.343","0.416","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.624","cm","1.596","1.652","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.674","cm","1.673","1.675","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.957333","cm","0.936","0.977","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.96375","cm","0.919","1.028","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.961","cm","0.919","1.028","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.649","cm","1.596","1.675","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.388","cm","0.367","0.413","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.41025","cm","0.383","0.43","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.400714","cm","0.367","0.43","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","MASS","Body measurements","Body mass","10.8","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TAIL_F","Body measurements","Tail length (females)","4.37633","cm","4.2","4.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TAIL_M","Body measurements","Tail length (males)","4.47925","cm","4.232","4.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.43514","cm","4.2","4.7","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.69867","cm","1.646","1.767","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.72525","cm","1.67","1.768","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.71386","cm","1.646","1.768","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_F","Body measurements","Wing length (females)","4.99067","cm","4.8","5.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","45.7","%","44.61","46.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","45.185","%","44.26","45.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","45.4057","%","44.26","46.3","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.4045","cm","0.339","0.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.506","cm","0.502","0.51","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.45525","cm","0.339","0.51","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_M","Body measurements","Wing length (males)","4.95125","cm","4.829","5.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","4.57","cm","4.461","4.63","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","4.5185","cm","4.426","4.598","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F1E7B851","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","4.54057","cm","4.426","4.63","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
