"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F6951FF7","DISTRIB","ANNUAL","Species distribution","Geographical range","Lakes of Caucasus to e Turkey and Iran; winters to Red Sea","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F6951FF7","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, coasts: Egypt (Mediterranean and Red Sea).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-F6951FF7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","41.78","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","33.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","38.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","42.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","92321.08","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F6951FF7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-F6951FF7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","HABITAT","DESCR","Habitat","Habitat description","lakes","","","","","Sibley 1996",""
"avibase-F6951FF7","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F6951FF7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F6951FF7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F6951FF7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.705","cm","1.63","1.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.705","cm","1.63","1.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.705","cm","1.63","1.78","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.475","cm","6.34","6.61","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.21","cm","6.06","6.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.33","cm","2.32","2.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.425","cm","2.4","2.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.3775","cm","2.32","2.45","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.3425","cm","6.06","6.61","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.82","cm","0.81","0.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.825","cm","0.79","0.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.8225","cm","0.79","0.86","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","MASS","Body measurements","Body mass","866.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F6951FF7","BODY","MASS","Body measurements","Body mass","871","g","867","875","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
