"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0562A30F","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa, Europe, Asia: w AF to Arabian Pen. and se Asia","","","","","IOC 11.1","http://www.worldbirdnames.org/"
"avibase-0562A30F","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, semi-desert woodland: all across Sahel zone Senegal to Sudan, NE Ethiopia and along Nile to Delta in Egypt.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-0562A30F","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0562A30F","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0562A30F","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","HABITAT","DESCR","Habitat","Habitat description","swamps, second growth, wooded hills, thornbush, arid steppe, town","","","","","Sibley 1996",""
"avibase-0562A30F","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally air","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0562A30F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0562A30F","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0562A30F","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.514","cm","0.514","0.514","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5215","cm","0.514","0.529","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.247","cm","3.247","3.247","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.2715","cm","3.247","3.296","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.05","cm","","","52","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.629","cm","0.629","0.629","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.603","cm","0.577","0.629","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","MASS","Body measurements","Body mass","14.8","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","MASS","Body measurements","Body mass","16.375","g","14.8","27","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","BODY","MASS_F","Body measurements","Body mass (females)","15","g","15","15","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","BODY","MASS_M","Body measurements","Body mass (males)","17.5","g","17.5","17.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","BODY","MASS_U","Body measurements","Body mass (sex unknown)","16.5","g","14.8","18","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","BODY","TAIL_F","Body measurements","Tail length (females)","7.04","cm","","","24","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","BODY","TAIL_M","Body measurements","Tail length (males)","7.12","cm","","","19","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","BODY","TAIL_M","Body measurements","Tail length (males)","13.4","cm","13.4","13.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","13.35","cm","13.3","13.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.881","cm","0.881","0.881","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.875","cm","0.869","0.881","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","WING_F","Body measurements","Wing length (females)","9.14","cm","","","22","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","BODY","WING_M","Body measurements","Wing length (males)","9.36","cm","","","20","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","BODY","WING_M","Body measurements","Wing length (males)","9.4","cm","9.4","9.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","BODY","WING_U","Body measurements","Wing length (sex unknown)","9.3","cm","9.2","9.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0562A30F","EGGS","MASS","Eggs","Egg mass","3.11","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","EGGS","MASS","Eggs","Egg mass","3.1","g","2.95","3.11","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","REPROD","CLUTCHSZ","Reproduction","Clutch size","4.5","n","4","5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","REPROD","CLUTCHSZ","Reproduction","Clutch size","5","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","REPROD","DISPLAY","Reproduction","Mating displays","both ground and non-acrobatic flight displays","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0562A30F","REPROD","FREQ","Reproduction","Number of breeding attempts per year","1","n/year","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0562A30F","REPROD","SHARING","Reproduction","Mate resource sharing","males and females share resources on their territory all year round.","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
