"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F76E7B80","DISTRIB","ANNUAL","Species distribution","Geographical range","India and Sri Lanka (Ceylon) east to Vietnam, Malay Peninsu- la, Sunda Islands (except Borneo), Philippines, Celebes.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-F76E7B80","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","35.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","17.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","91.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3858090.35","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.64425","cm","2.48","2.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.8965","cm","2.733","3.06","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.72833","cm","2.48","3.06","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","14.724","cm","14","15.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","15.382","cm","14.264","16.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","12","cm","11.5","12.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","13.5","cm","13.5","13.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","12.375","cm","11.5","13.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","14.9433","cm","14","16.5","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.7935","cm","1.61","1.91","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.8575","cm","1.775","1.94","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.81483","cm","1.61","1.94","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","MASS","Body measurements","Body mass","2061","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TAIL_F","Body measurements","Tail length (females)","16.75","cm","14.7","17.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TAIL_M","Body measurements","Tail length (males)","17.3","cm","16.3","18.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","16.9333","cm","14.7","18.3","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TARSUS_F","Body measurements","Tarsus length (females)","15.0265","cm","14.5","15.706","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TARSUS_M","Body measurements","Tarsus length (males)","16.544","cm","15.8","17.288","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","15.5323","cm","14.5","17.288","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_F","Body measurements","Wing length (females)","44.55","cm","44.2","45.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","273.667","%","272","275","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","315","%","315","315","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","284","%","272","315","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","17.3","cm","16.9","18","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","17.7","cm","17.7","17.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","17.4","cm","16.9","18","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_M","Body measurements","Wing length (males)","47.75","cm","46.3","49.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","27.3667","cm","27.2","27.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","31.5","cm","31.5","31.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","28.4","cm","27.2","31.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F76E7B80","BODY","WING_U","Body measurements","Wing length (sex unknown)","45.6167","cm","44.2","49.2","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
