"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-31FFAD02","DISTRIB","ANNUAL","Species distribution","Geographical range","Larger islands in Tuamotu Archipelago (except Makatea)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-31FFAD02","DISTRIB","ANNUAL","Species distribution","Geographical range","Paumotu Group: recorded from most of the islands between Rangiroa and Marutea.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-31FFAD02","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-14.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-22.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-16.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-143.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","RANGE_SIZE","Species distribution","Total range size","654.22","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","DISTRIB","REALM","Species distribution","Realm","Oceania","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31FFAD02","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-31FFAD02","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","HABITAT","DESCR","Habitat","Habitat description","forest, woodland","","","","","Sibley 1996",""
"avibase-31FFAD02","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31FFAD02","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31FFAD02","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.39","cm","0.37","0.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.4","cm","0.39","0.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.395","cm","0.37","0.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.805","cm","1.74","1.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.845","cm","1.72","1.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.745","cm","0.71","0.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.795","cm","0.76","0.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.77","cm","0.71","0.83","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.825","cm","1.72","1.97","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.375","cm","0.37","0.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.36","cm","0.35","0.37","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3675","cm","0.35","0.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","MASS","Body measurements","Body mass","83.24","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31FFAD02","BODY","MASS","Body measurements","Body mass","84.5","g","84.5","84.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-31FFAD02","BODY","MASS_U","Body measurements","Body mass (sex unknown)","84.5","g","84.5","84.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-31FFAD02","BODY","TAIL_F","Body measurements","Tail length (females)","8.05","cm","7.8","8.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
