"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9A90A865","DISTRIB","ANNUAL","Species distribution","Geographical range","Inland salt lakes of sw and s-central Australia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-9A90A865","DISTRIB","ANNUAL","Species distribution","Geographical range","Australia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-9A90A865","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-22.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-33.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-28.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","122.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","RANGE_SIZE","Species distribution","Total range size","96302.92","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9A90A865","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-9A90A865","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","HABITAT","DESCR","Habitat","Habitat description","salt lakes, tidal mudflats, saltmarsh, saltfields","","","","","Sibley 1996",""
"avibase-9A90A865","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9A90A865","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9A90A865","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9A90A865","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.4034","cm","0.38","0.44","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.63","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","7.14","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","5.71667","cm","5.65","5.75","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","7.218","cm","6.522","7.54","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4432","cm","0.41","0.51","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","MASS","Body measurements","Body mass","216","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","MASS","Body measurements","Body mass","215.25","g","212.5","261.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-9A90A865","BODY","MASS_F","Body measurements","Body mass (females)","229","g","197","261","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-9A90A865","BODY","MASS_F","Body measurements","Body mass (females)","261","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","MASS_M","Body measurements","Body mass (males)","262.8","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","MASS_M","Body measurements","Body mass (males)","247.4","g","232","262.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-9A90A865","BODY","MASS_U","Body measurements","Body mass (sex unknown)","214.25","g","212.5","216","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-9A90A865","BODY","TAIL_F","Body measurements","Tail length (females)","7.83","cm","","","18","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","TAIL_M","Body measurements","Tail length (males)","8.27","cm","","","32","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.74","cm","7.5","8.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","TARSUS_F","Body measurements","Tarsus length (females)","8.08","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","TARSUS_M","Body measurements","Tarsus length (males)","8.68","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","8.2772","cm","7.516","9.14","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","WING_F","Body measurements","Wing length (females)","19.62","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","94.475","%","86.7","103.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","10.2275","cm","10.03","10.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9A90A865","BODY","WING_M","Body measurements","Wing length (males)","20.15","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-9A90A865","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","9.4475","cm","8.67","10.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
