"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B02C4DCC","DISTRIB","ANNUAL","Species distribution","Geographical range","SE Amazonian Brazil (R. Tapajós to R. Iriri, s to Mato Grosso)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-B02C4DCC","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Brazil south of the Amazon from the left bank of the Tapaj6z to the Xingii.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-B02C4DCC","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-54.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","RANGE_SIZE","Species distribution","Total range size","157613.65","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02C4DCC","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B02C4DCC","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","HABITAT","DESCR","Habitat","Habitat description","humid forest undergrowth","","","","","Sibley 1996",""
"avibase-B02C4DCC","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02C4DCC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02C4DCC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B02C4DCC","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.48625","cm","0.47","0.508","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.495","cm","0.46","0.534","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.492","cm","0.46","0.534","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.865","cm","1.85","1.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.91433","cm","1.77","2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.14325","cm","1.125","1.16","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.214","cm","1.06","1.292","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.19178","cm","1.06","1.297","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.8946","cm","1.77","2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.4705","cm","0.44","0.503","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.4758","cm","0.41","0.537","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4704","cm","0.41","0.537","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","MASS","Body measurements","Body mass","28.46","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","MASS","Body measurements","Body mass","28.5","g","28.5","28.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B02C4DCC","BODY","MASS_U","Body measurements","Body mass (sex unknown)","28.5","g","28.5","28.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B02C4DCC","BODY","TAIL_F","Body measurements","Tail length (females)","5.04675","cm","4.63","5.357","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","TAIL_M","Body measurements","Tail length (males)","5.0416","cm","4.799","5.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.0031","cm","4.63","5.357","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B02C4DCC","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.70025","cm","2.586","2.79","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
