"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C39D115A","DISTRIB","ANNUAL","Species distribution","Geographical range","Costa Rica, western Panama, Ecuador.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-C39D115A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","3.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-78.75","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","113390.9","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C39D115A","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C39D115A","HABITAT","ALT","Habitat","Altitude","","m","300","2500","-1","Birdlife's Worldbird Database",""
"avibase-C39D115A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","HABITAT","DESCR","Habitat","Habitat description","Montane Evergreen Forest, Tropical Lowland Evergreen Forest (300-2500 m; upper Tropical and Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-C39D115A","HABITAT","DESCR","Habitat","Habitat description","humid or wet forest;foothills, mountains-3000m","","","","","Sibley 1996",""
"avibase-C39D115A","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Vertivore perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C39D115A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C39D115A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C39D115A","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.02","cm","2.02","2.02","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.04","cm","2.02","2.05","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.23","cm","4.23","4.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.83","cm","2.83","2.83","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.85667","cm","2.69","3.05","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.35333","cm","4.23","4.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.43","cm","1.43","1.43","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.38","cm","1.27","1.44","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","MASS","Body measurements","Body mass","999.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","MASS","Body measurements","Body mass","1000","g","1000","1000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C39D115A","BODY","MASS_F","Body measurements","Body mass (females)","1000","g","1000","1000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-C39D115A","BODY","TAIL_M","Body measurements","Tail length (males)","17.4","cm","17.4","17.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","19.2667","cm","17.4","21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","TARSUS_M","Body measurements","Tarsus length (males)","8.87","cm","8.87","8.87","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","8.65333","cm","7.93","9.16","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","238","%","238","238","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","257.233","%","238","276","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","11.5","cm","11.5","11.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","10.7433","cm","10.33","11.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_M","Body measurements","Wing length (males)","35.3","cm","35.3","35.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C39D115A","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","23.8","cm","23.8","23.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
