"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0D42A253","DISTRIB","ANNUAL","Species distribution","Geographical range","Lower valleys of the Tigris and Euphrates Rivers in Iraq north to Baghdad. Migrates to eastern Africa from Kenya to Ma- lawi.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-0D42A253","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, dense thickets and undergrowth, usually near water: regular E Kenya, E Tanzania; other records Ethiopia - C Mozambique.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-0D42A253","DISTRIB","ANNUAL","Species distribution","Geographical range","S Iraq (Tigris and Euphrates valleys); winters Kenya to Malawi","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-0D42A253","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","34.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","28.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","31.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","45.59","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","RANGE_SIZE","Species distribution","Total range size","105982.42","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0D42A253","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-0D42A253","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","HABITAT","DESCR","Habitat","Habitat description","reedbeds","","","","","Sibley 1996",""
"avibase-0D42A253","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0D42A253","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0D42A253","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0D42A253","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.385","cm","0.38","0.39","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.376","cm","0.37","0.388","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3796","cm","0.37","0.39","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.07","cm","2.07","2.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.23","cm","","","4","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0D42A253","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.24","cm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0D42A253","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.14833","cm","2.12","2.165","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.28","cm","1.27","1.29","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.305","cm","1.29","1.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0D42A253","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.2925","cm","1.27","1.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
