"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BD195A4B","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Colombia in depts. of Antioquia, Santander and Boyaca ; Bogota trade skins.^","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-BD195A4B","DISTRIB","ANNUAL","Species distribution","Geographical range","N Colombia (Magdalena Valley)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-BD195A4B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","8.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","7.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-74.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","48456.57","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD195A4B","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BD195A4B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
