"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4E2CA7F7","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: s Nepal, ne India and s Vietnam","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-4E2CA7F7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","28.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","12.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","25.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","90.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","76553.14","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4E2CA7F7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-4E2CA7F7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","HABITAT","DESCR","Habitat","Habitat description","relatively open short grasslands (0.5-1 m tall) sometimes with patches of tall grass and scattered bushes and trees usually in lowlands below 300 m","","","","","Sibley 1996",""
"avibase-4E2CA7F7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4E2CA7F7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4E2CA7F7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.02","cm","0.98","1.06","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.994333","cm","0.953","1.03","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.0046","cm","0.953","1.06","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.775","cm","4.45","5.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.579","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4E2CA7F7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.32","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4E2CA7F7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.821","cm","4.383","5.05","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.575","cm","2.47","2.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4E2CA7F7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.4","cm","2.33","2.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
