"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E1A86347","DISTRIB","ANNUAL","Species distribution","Geographical range","Temperate zone of the Central Andes of Colombia in departments of Antioquia and Caldas.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E1A86347","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: c Colombia and nc Ecuador","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-E1A86347","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","6.42","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","0.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","3.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","RANGE_SIZE","Species distribution","Total range size","9572.87","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E1A86347","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-E1A86347","HABITAT","ALT","Habitat","Altitude","","m","1950","3150","-1","Birdlife's Worldbird Database",""
"avibase-E1A86347","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","HABITAT","DESCR","Habitat","Habitat description","floor & undergrowth of dense humid montane & cloud-forest;2100-3300m","","","","","Sibley 1996",""
"avibase-E1A86347","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E1A86347","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E1A86347","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E1A86347","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.62","cm","0.6","0.64","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.620333","cm","0.571","0.65","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.612833","cm","0.571","0.65","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.085","cm","2.02","2.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.09","cm","2.08","2.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.175","cm","1.07","1.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.24333","cm","1.22","1.26","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.216","cm","1.07","1.28","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.047","cm","1.885","2.15","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.445","cm","0.44","0.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.518333","cm","0.48","0.54","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.485833","cm","0.44","0.54","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","MASS","Body measurements","Body mass","44.8","g","44.8","44.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E1A86347","BODY","MASS","Body measurements","Body mass","44.8","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","MASS_U","Body measurements","Body mass (sex unknown)","44.8","g","44.8","44.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E1A86347","BODY","TAIL_F","Body measurements","Tail length (females)","4.25","cm","4.1","4.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","TAIL_M","Body measurements","Tail length (males)","5.05267","cm","4.8","5.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.72633","cm","4.1","5.2","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.22","cm","4.08","4.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","TARSUS_M","Body measurements","Tarsus length (males)","4.43867","cm","4.3","4.51","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.3045","cm","4.071","4.51","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_F","Body measurements","Wing length (females)","8.2","cm","8.1","8.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","76","%","75","77","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","84.8","%","81","88.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","80.4","%","75","88.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.6","cm","0.6","0.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.67","cm","0.54","0.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.635","cm","0.54","0.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_M","Body measurements","Wing length (males)","8.997","cm","8.691","9.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","7.6","cm","7.5","7.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","8.48","cm","8.1","8.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","8.04","cm","7.5","8.86","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E1A86347","BODY","WING_U","Body measurements","Wing length (sex unknown)","8.73183","cm","8.1","9.4","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
