"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5267D127","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Brazil from southern Piauhy to Rio Grande do Sul.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5267D127","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: e","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-5267D127","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-9.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-19.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-45.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1314750.58","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5267D127","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5267D127","HABITAT","ALT","Habitat","Altitude","","m","","2000","-1","Birdlife's Worldbird Database",""
"avibase-5267D127","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","HABITAT","DESCR","Habitat","Habitat description","forest, open country;lowlands","","","","","Sibley 1996",""
"avibase-5267D127","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5267D127","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5267D127","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5267D127","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.375","cm","0.35","0.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.39775","cm","0.35","0.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.390167","cm","0.35","0.44","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.31","cm","1.1","1.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.25775","cm","1.069","1.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.63","cm","0.52","0.74","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.645","cm","0.59","0.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.6375","cm","0.52","0.74","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.27517","cm","1.069","1.75","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.54","cm","0.38","0.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.455","cm","0.41","0.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4975","cm","0.38","0.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","MASS","Body measurements","Body mass","106","g","85","108","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5267D127","BODY","MASS","Body measurements","Body mass","95.81","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","MASS_M","Body measurements","Body mass (males)","85","g","85","85","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5267D127","BODY","MASS_U","Body measurements","Body mass (sex unknown)","107","g","106","108","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5267D127","BODY","TAIL_F","Body measurements","Tail length (females)","6.6","cm","6.6","6.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","TAIL_M","Body measurements","Tail length (males)","6.90775","cm","5.746","7.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.80517","cm","5.746","7.5","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.12","cm","1.7","2.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.1635","cm","1.892","2.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.149","cm","1.7","2.7","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_F","Body measurements","Wing length (females)","19","cm","17.9","20.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","65","%","56","74","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","68.1775","%","62.44","80","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","67.1183","%","56","80","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","12.5","cm","10.5","14.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","12.5073","cm","10.5","14.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","12.5048","cm","10.5","14.5","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_M","Body measurements","Wing length (males)","19.325","cm","18.5","20.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","6.5","cm","5.6","7.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","6.81775","cm","6.244","8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","6.71183","cm","5.6","8","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5267D127","BODY","WING_U","Body measurements","Wing length (sex unknown)","19.2167","cm","17.9","20.5","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
