"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-38193321","DISTRIB","ANNUAL","Species distribution","Geographical range","African equatorial forest region from southern Cameroon south to Landana and eastward across the Congo to the Ituri district.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-38193321","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, dense rainforest: SE Nigeria - extreme N Angola east to NE DRC.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-38193321","DISTRIB","ANNUAL","Species distribution","Geographical range","southeastern Nigeria to northern Angola and extreme northeastern Democratic Republic of the Congo","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-38193321","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","6.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","1.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","16.74","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","RANGE_SIZE","Species distribution","Total range size","764292.38","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-38193321","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-38193321","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","HABITAT","DESCR","Habitat","Habitat description","dense primary forest in forest interior, occasionally in dense undergrowth at edges;lowlands.100K-500K.birds","","","","","Sibley 1996",""
"avibase-38193321","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-38193321","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-38193321","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.9642","cm","0.88","1.04","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.9642","cm","0.88","1.04","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.7532","cm","2.66","2.976","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.5975","cm","1.52","1.67","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-38193321","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.5975","cm","1.52","1.67","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
