"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B0C5FAE9","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: Madagascar, Comoro Is, Seychelles Is (Praslin)","","","","","IOC 4.2","http://www.worldbirdnames.org/"
"avibase-B0C5FAE9","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, dense forest: Madagascar (libs in W, nigra in E); Grand Comoro, Anjouan (sibilans); Seychelles (barklyi) (perhaps introduced); Mauritius (introduced).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-B0C5FAE9","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B0C5FAE9","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B0C5FAE9","HABITAT","DESCR","Habitat","Habitat description","dense woodland, brushy areas, mangroves","","","","","Sibley 1996",""
"avibase-B0C5FAE9","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B0C5FAE9","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B0C5FAE9","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B0C5FAE9","BODY","MASS","Body measurements","Body mass","193.5","g","193.5","198.25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B0C5FAE9","BODY","MASS_U","Body measurements","Body mass (sex unknown)","195.875","g","193.5","198.25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B0C5FAE9","BODY","SVL","Body measurements","Snout-to-vent length (adults)","35","cm","35","35","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B0C5FAE9","REPROD","CLUTCHSZ","Reproduction","Clutch size","2.7","n","2.4","3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B0C5FAE9","SURVIVAL","MAXAGE","Survival","Maximum age","34.1","years","34.1","34.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-B0C5FAE9","SURVIVAL","MEAN","Survival","Average survival","34.1","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
