"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-49888E04","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, Aru, New Guinea, New Guinea","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-49888E04","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern New Guinea from Etna Bay to Port Moresby, and south coast of Geelvink Bay; Aru Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-49888E04","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: Aru Is. (sw of New Guinea) and s New Guinea","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-49888E04","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","141","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","RANGE_SIZE","Species distribution","Total range size","284369.79","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49888E04","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-49888E04","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","HABITAT","DESCR","Habitat","Habitat description","rainforest, monsoon forest, gallery forest;lowlands-800m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-49888E04","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49888E04","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-49888E04","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.655","cm","1.64","1.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.645","cm","1.62","1.665","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-49888E04","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.649","cm","1.62","1.67","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
