"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-7A3818D8","DISTRIB","ANNUAL","Species distribution","Geographical range","African Savanna belt from Baguirmi and the Shari region to Darfur and Bahr el Ghazal.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-7A3818D8","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, riverine trees, wooded grassland: S Chad, NE CAR - S Sudan, N Uganda.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-7A3818D8","DISTRIB","ANNUAL","Species distribution","Geographical range","southern Chad to northeastern Central African Republic, South Sudan, northeastern Democratic Republic of the Congo, and northern Uganda","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-7A3818D8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","13.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","2.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","9.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","25.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1106455.94","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7A3818D8","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
