"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E2F43007","DISTRIB","ANNUAL","Species distribution","Geographical range","Panama from the Canal Zone eastward; central Colombia to northwestern Ecuador.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E2F43007","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","0.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","RANGE_SIZE","Species distribution","Total range size","197997.21","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E2F43007","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-E2F43007","HABITAT","ALT","Habitat","Altitude","","m","","1000","-1","Birdlife's Worldbird Database",""
"avibase-E2F43007","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","HABITAT","DESCR","Habitat","Habitat description","Tropical Lowland Evergreen Forest, Secondary Forest (0-1000 m; Tropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-E2F43007","HABITAT","DESCR","Habitat","Habitat description","humid and wet forest, edge, second growth;lowlands-1000m","","","","","Sibley 1996",""
"avibase-E2F43007","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E2F43007","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E2F43007","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E2F43007","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.27333","cm","1.24","1.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.3","cm","1.24","1.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.44667","cm","3.29","3.55","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.49667","cm","2.42","2.57","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.555","cm","2.42","2.73","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.505","cm","3.29","3.68","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.18","cm","1.13","1.25","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.1875","cm","1.13","1.25","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","MASS","Body measurements","Body mass","69.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","MASS","Body measurements","Body mass","69.1","g","69.1","69.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E2F43007","BODY","MASS_M","Body measurements","Body mass (males)","69.1","g","69.1","69.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E2F43007","BODY","TAIL_M","Body measurements","Tail length (males)","8.43333","cm","8.2","8.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E2F43007","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","8.375","cm","8.2","8.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
