"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5ACD60F4","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of s South America","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-5ACD60F4","DISTRIB","ANNUAL","Species distribution","Geographical range","Central Chile east to Paraguay and Rio Grande do Sul, south in Argen- tina to provinces of Mendoza, San Juan and Buenos Aires.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5ACD60F4","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-17.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-51.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-32.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-63.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1954559.19","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5ACD60F4","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5ACD60F4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5ACD60F4","HABITAT","DESCR","Habitat","Habitat description","fresh lakes, pools, marshes w much emergt vegn, esp bulrushes","","","","","Sibley 1996",""
"avibase-5ACD60F4","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
