"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5370CAE1","DISTRIB","ANNUAL","Species distribution","Geographical range","Temperate zone of the Andes of Bolivia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5370CAE1","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of w Bolivia (La Paz and Cochabamba)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-5370CAE1","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-16.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-17.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-16.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-66.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","RANGE_SIZE","Species distribution","Total range size","16558.41","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5370CAE1","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-5370CAE1","HABITAT","ALT","Habitat","Altitude","","m","3000","3500","-1","Birdlife's Worldbird Database",""
"avibase-5370CAE1","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","HABITAT","DESCR","Habitat","Habitat description","rocky slopes;Andes 2250-4200m","","","","","Sibley 1996",""
"avibase-5370CAE1","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5370CAE1","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5370CAE1","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5370CAE1","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.24","cm","0.19","0.276","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.233833","cm","0.186","0.279","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2363","cm","0.186","0.279","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.26","cm","2.25","2.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5370CAE1","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.92","cm","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
