"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0874B4D5","DISTRIB","ANNUAL","Species distribution","Geographical range","Ghana to Kenya, Uganda and se Cape Province","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-0874B4D5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-33.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-9.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","26.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5641140.28","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0874B4D5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","HABITAT","DESCR","Habitat","Habitat description","open grassland and savanna on dark clayey(occasionally sandy) soils and marshy areas (dambos) in woodland;uses thicket edge, close to grassland & short-grazed areas with 25-50cm tall dense ground cover;occasly fallow crop & sugar cane fields;to 1800m","","","","","Sibley 1996",""
"avibase-0874B4D5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.365","cm","0.35","0.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.33","cm","0.33","0.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3475","cm","0.33","0.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.29","cm","1.21","1.37","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.29","cm","1.2","1.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.635","cm","0.62","0.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.61","cm","0.6","0.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.6225","cm","0.6","0.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.29","cm","1.2","1.38","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.185","cm","0.17","0.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.235","cm","0.21","0.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.21","cm","0.17","0.26","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","MASS","Body measurements","Body mass","50.61","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","MASS","Body measurements","Body mass","50.05","g","42.7","60","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0874B4D5","BODY","MASS_F","Body measurements","Body mass (females)","60","g","59.95","60","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0874B4D5","BODY","MASS_M","Body measurements","Body mass (males)","42.7","g","40.1","43","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0874B4D5","BODY","TAIL_F","Body measurements","Tail length (females)","2.8","cm","2.6","3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","TAIL_M","Body measurements","Tail length (males)","2.1","cm","2","2.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.45","cm","2","3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2","cm","1.9","2.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.165","cm","2.13","2.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.0825","cm","1.9","2.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_F","Body measurements","Wing length (females)","7.65","cm","7.3","8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","59.3","%","56.7","61.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","54.8","%","54.2","55.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","57.05","%","54.2","61.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.72","cm","1.63","1.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.77","cm","1.58","1.96","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.745","cm","1.58","1.96","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_M","Body measurements","Wing length (males)","7.25","cm","7","7.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","5.93","cm","5.67","6.19","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","5.48","cm","5.42","5.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","5.705","cm","5.42","6.19","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","BODY","WING_U","Body measurements","Wing length (sex unknown)","7.45","cm","7","8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0874B4D5","EGGS","MASS","Eggs","Egg mass","4.5","g","4.5","4.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0874B4D5","REPROD","CLUTCHSZ","Reproduction","Clutch size","3","n","3","3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
