"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0C9C7247","DISTRIB","ANNUAL","Species distribution","Geographical range","E slope of Andes from central Colombia to nw Bolivia","","","","","Clements 6","http://www.birds.cornell.edu/clementschecklist"
"avibase-0C9C7247","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","5.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-17.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-10.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-72.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","RANGE_SIZE","Species distribution","Total range size","120052.81","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0C9C7247","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0C9C7247","HABITAT","ALT","Habitat","Altitude","","m","1050","2100","-1","Birdlife's Worldbird Database",""
"avibase-0C9C7247","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","HABITAT","DESCR","Habitat","Habitat description","woodland, humid forest understorey;Andes foothills 500-1700m","","","","","Sibley 1996",""
"avibase-0C9C7247","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0C9C7247","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0C9C7247","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0C9C7247","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.901","cm","0.83","0.996","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.875","cm","0.83","0.92","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.900375","cm","0.83","0.996","16","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.54333","cm","2.26","2.95","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.37","cm","2.27","2.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.795","cm","1.74","1.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.995","cm","1.94","2.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.83222","cm","1.72","2.05","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.48143","cm","2.26","2.95","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.8","cm","0.71","0.89","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.83","cm","0.82","0.84","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.793333","cm","0.71","0.89","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","MASS","Body measurements","Body mass","57.4","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","MASS","Body measurements","Body mass","57.4","g","57.4","57.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0C9C7247","BODY","MASS_U","Body measurements","Body mass (sex unknown)","57.4","g","57.4","57.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0C9C7247","BODY","TAIL_F","Body measurements","Tail length (females)","9.73","cm","8.8","10.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","TAIL_M","Body measurements","Tail length (males)","9.125","cm","8.73","9.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","9.40882","cm","8.73","10.4","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.8372","cm","1.61","2.056","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.9285","cm","1.86","2.032","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.88118","cm","1.6","2.056","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_F","Body measurements","Wing length (females)","9.366","cm","8.2","10.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","75.88","%","64.7","82.8","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","78.555","%","74.32","81","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","76.2086","%","64.7","86","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.778","cm","1.6","2.26","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.737","cm","1.67","1.83","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.76771","cm","1.5","2.54","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_M","Body measurements","Wing length (males)","9.59","cm","9.2","9.93","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","7.588","cm","6.47","8.28","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","7.8555","cm","7.432","8.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","7.62086","cm","6.47","8.6","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0C9C7247","BODY","WING_U","Body measurements","Wing length (sex unknown)","9.27765","cm","8.1","10.2","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
