"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B3777B6C","DISTRIB","ANNUAL","Species distribution","Geographical range","Montane forests of n-central China","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-B3777B6C","DISTRIB","ANNUAL","Species distribution","Geographical range","Western China : Alashan Mountains and mountains of eastern Koko-nor and western Kansu; northern Szechuan(?).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-B3777B6C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","40.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","30.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","35.13","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","102.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","512906.05","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B3777B6C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B3777B6C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B3777B6C","HABITAT","DESCR","Habitat","Habitat description","open alpine meadows, mixed and coniferous forest, juniper scrub;mountains 2700-4400m","","","","","Sibley 1996",""
"avibase-B3777B6C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B3777B6C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
