"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-68D6A13A","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds at Kerguelen and Falkland Islands and ranges throughout the southern oceans.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-68D6A13A","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds: S Indian Ocean Is; vagrant: off South Africa.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-68D6A13A","DISTRIB","ANNUAL","Species distribution","Geographical range","Islands in subantarctic southern oceans and islands off Cape Horn","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-68D6A13A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-31.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-67.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-51.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","6.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","75697728.93","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","DISTRIB","REALM","Species distribution","Realm","Antarctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68D6A13A","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-68D6A13A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","HABITAT","DESCR","Habitat","Habitat description","ocean","","","","","Sibley 1996",""
"avibase-68D6A13A","HABITAT","DESCR","Habitat","Habitat description","Marine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68D6A13A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68D6A13A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-68D6A13A","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.78","cm","0.78","0.78","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.7","cm","0.63","0.78","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.065","cm","3.05","3.08","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.23","cm","2.2","2.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.2075","cm","2.13","2.26","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.9925","cm","2.85","3.08","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.725","cm","0.7","0.75","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.6975","cm","0.6","0.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","MASS","Body measurements","Body mass","202","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","MASS","Body measurements","Body mass","190","g","190","207","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-68D6A13A","BODY","MASS_M","Body measurements","Body mass (males)","180","g","180","180","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-68D6A13A","BODY","MASS_U","Body measurements","Body mass (sex unknown)","196","g","190","207","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-68D6A13A","BODY","TAIL_F","Body measurements","Tail length (females)","8.05","cm","7.5","8.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.7","cm","7.2","8.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.145","cm","3.08","3.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.1625","cm","3.08","3.21","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-68D6A13A","BODY","WING_F","Body measurements","Wing length (females)","20.95","cm","20.9","21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
