"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-18AEC353","DISTRIB","ANNUAL","Species distribution","Geographical range","Tropical South America from eastern Panama (whence not represented in recent collections) to Ecuador, eastern Peru, Bolivia, northern Paraguay and Brazil (south to the states of Sao Paulo and Rio de Janeiro).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-18AEC353","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.59","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-60.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7780066.73","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-18AEC353","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-18AEC353","HABITAT","ALT","Habitat","Altitude","","m","","700","-1","Birdlife's Worldbird Database",""
"avibase-18AEC353","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","HABITAT","DESCR","Habitat","Habitat description","Gallery Forest, River-edge Forest, Tropical Lowland Evergreen Forest (0-700 m; Tropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-18AEC353","HABITAT","DESCR","Habitat","Habitat description","forests, palms growing in swamps or nr watercourses;lowlands-500m","","","","","Sibley 1996",""
"avibase-18AEC353","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-18AEC353","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-18AEC353","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","5.42575","cm","4.75","5.933","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","5.915","cm","5.7","6.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","5.5155","cm","4.75","6.22","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.17617","cm","5","7.1","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.37667","cm","4.36","7.65","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","6.11667","cm","5.85","6.55","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","6.325","cm","6.24","6.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","6.19","cm","5.85","6.55","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.60115","cm","4.36","7.75","13","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","2.91","cm","2.59","3.28","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","3.285","cm","3.11","3.46","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","3.0177","cm","2.59","3.46","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","MASS","Body measurements","Body mass","1125","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","MASS","Body measurements","Body mass","1125","g","1020.6","1687.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-18AEC353","BODY","MASS_F","Body measurements","Body mass (females)","1132","g","1132","1132","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-18AEC353","BODY","MASS_M","Body measurements","Body mass (males)","1163","g","1163","1163","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-18AEC353","BODY","MASS_U","Body measurements","Body mass (sex unknown)","1406.25","g","1125","1687.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-18AEC353","BODY","SVL","Body measurements","Snout-to-vent length (adults)","79","cm","79","79","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-18AEC353","BODY","TAIL_F","Body measurements","Tail length (females)","45.85","cm","37.8","54.1","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","TAIL_M","Body measurements","Tail length (males)","53.2667","cm","50.3","59","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","49.2462","cm","37.8","59","13","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18AEC353","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.2245","cm","2.75","4.207","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
