"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5C15B5FC","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: widespread","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-5C15B5FC","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","30.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","8.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","94.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2622222.41","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C15B5FC","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5C15B5FC","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","HABITAT","DESCR","Habitat","Habitat description","forest edge, woodland, overgrown ravines;lowlands-1700m","","","","","Sibley 1996",""
"avibase-5C15B5FC","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally air","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C15B5FC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C15B5FC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C15B5FC","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.035","cm","0.96","1.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.0935","cm","0.99","1.181","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.074","cm","0.96","1.181","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.595","cm","4.23","4.96","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.945","cm","4.41","5.522","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.685","cm","3.32","4.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.4","cm","3.4","3.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.5425","cm","3.32","4.05","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.82833","cm","4.23","5.522","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.855","cm","0.74","0.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.92325","cm","0.8","1.167","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.9005","cm","0.74","1.167","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","MASS","Body measurements","Body mass","84.23","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","MASS","Body measurements","Body mass","87.75","g","80.5","93","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5C15B5FC","BODY","MASS_F","Body measurements","Body mass (females)","82.25","g","80.5","84","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5C15B5FC","BODY","MASS_M","Body measurements","Body mass (males)","89","g","89","89","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-5C15B5FC","BODY","TAIL_F","Body measurements","Tail length (females)","12.45","cm","11.9","13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","TAIL_M","Body measurements","Tail length (males)","13.675","cm","12.3","16.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","13.2667","cm","11.9","16.2","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.945","cm","1.8","2.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.7915","cm","1.5","2.067","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C15B5FC","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.84267","cm","1.5","2.09","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
