"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BA79EDB4","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, glades in forest: throughout forest area to E DRC, Bioko; W Kenya; (mentalis West Africa - W Cameroon, muelleri to east).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-BA79EDB4","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: c, w","","","","","IOC 2.08","http://worldbirdnames.org/"
"avibase-BA79EDB4","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BA79EDB4","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-BA79EDB4","HABITAT","DESCR","Habitat","Habitat description","forest edge, riverine woodland, farmland","","","","","Sibley 1996",""
"avibase-BA79EDB4","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally air","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BA79EDB4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BA79EDB4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BA79EDB4","BODY","MASS_F","Body measurements","Body mass (females)","22.9","grams","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-BA79EDB4","BODY","MASS_M","Body measurements","Body mass (males)","22.4","grams","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-BA79EDB4","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.53","cm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-BA79EDB4","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
