"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-23D5FC36","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa south of the Sahara, Zanzibar and Pemba I.","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-23D5FC36","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest edges, thickets, galleries: Senegal - Ethiopia south to S Angola - E Zimbabwe, C Mozambique, Zanzibar, Pemba; sparse in Kenya, Tanzania.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-23D5FC36","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","16.96","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","2.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","17.55","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","RANGE_SIZE","Species distribution","Total range size","10011361.74","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-23D5FC36","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-23D5FC36","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","HABITAT","DESCR","Habitat","Habitat description","forest edge, moist woodland, gallery forest, riparian scrub, clearings","","","","","Sibley 1996",""
"avibase-23D5FC36","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-23D5FC36","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-23D5FC36","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-23D5FC36","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.27","cm","0.26","0.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.307667","cm","0.28","0.343","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2926","cm","0.26","0.343","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.7075","cm","1.51","1.83","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.7914","cm","1.51","2.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.745","cm","0.72","0.77","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.69","cm","0.65","0.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.7175","cm","0.65","0.77","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.75411","cm","1.51","2.1","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-23D5FC36","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.21","cm","0.21","0.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
