"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-6F0C3A53","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, New Guinea, Motupore, New Guinea","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-6F0C3A53","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: s New Guinea and nw to ne Australia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-6F0C3A53","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-3.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-27.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.91","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","135.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2183194.4","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6F0C3A53","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6F0C3A53","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-6F0C3A53","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
