"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DEEC38A7","DISTRIB","ANNUAL","Species distribution","Geographical range","SE Australia and Tasmania","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DEEC38A7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-36.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-43.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-39.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","145.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","171443.53","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DEEC38A7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-DEEC38A7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","HABITAT","DESCR","Habitat","Habitat description","grassland, grassy woodland & forests, often near wetlands, both near coast & in semi-arid areas;after breeding moves to more open and drier habitats","","","","","Sibley 1996",""
"avibase-DEEC38A7","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DEEC38A7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DEEC38A7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DEEC38A7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.19","cm","1.1","1.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.205","cm","1.2","1.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.1975","cm","1.1","1.28","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.34","cm","1.32","1.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.03","cm","","","13","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DEEC38A7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.06","cm","","","33","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DEEC38A7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.453","cm","1.4","1.51","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.09","cm","1.06","1.12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.145","cm","1.1","1.19","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.1175","cm","1.06","1.19","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.4078","cm","1.32","1.51","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.745","cm","0.71","0.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.770667","cm","0.73","0.84","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.7604","cm","0.71","0.84","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","MASS","Body measurements","Body mass","46.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","MASS","Body measurements","Body mass","46.1","g","45","46.75","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DEEC38A7","BODY","MASS_F","Body measurements","Body mass (females)","47.8","g","47.8","47.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DEEC38A7","BODY","MASS_F","Body measurements","Body mass (females)","47.8","grams","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DEEC38A7","BODY","MASS_M","Body measurements","Body mass (males)","45.7","grams","","","14","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DEEC38A7","BODY","MASS_M","Body measurements","Body mass (males)","45.7","g","45.7","45.7","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DEEC38A7","BODY","MASS_U","Body measurements","Body mass (sex unknown)","45.5","g","45","46.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DEEC38A7","BODY","SVL","Body measurements","Snout-to-vent length (adults)","20","cm","20","20","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DEEC38A7","BODY","TAIL_F","Body measurements","Tail length (females)","10.95","cm","","","13","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DEEC38A7","BODY","TAIL_F","Body measurements","Tail length (females)","13.8","cm","12.5","15.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","TAIL_M","Body measurements","Tail length (males)","11.7","cm","9.5","13.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DEEC38A7","BODY","TAIL_M","Body measurements","Tail length (males)","11.48","cm","","","30","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
