"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F5823411","DISTRIB","ANNUAL","Species distribution","Geographical range","Amazonian Peru south of the Amazon and adjacent parts of western Brazil, eastward at least to the Puriis.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-F5823411","DISTRIB","ANNUAL","Species distribution","Geographical range","Riverine forests of e Peru to n Bolivia and w Amazonian Brazil","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F5823411","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-3.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-8.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-70.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1188886.92","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F5823411","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-F5823411","HABITAT","ALT","Habitat","Altitude","","m","","1050","-1","Birdlife's Worldbird Database",""
"avibase-F5823411","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","HABITAT","DESCR","Habitat","Habitat description","riverine forest, varzea edges;lowlands","","","","","Sibley 1996",""
"avibase-F5823411","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally air","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F5823411","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F5823411","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F5823411","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.59","cm","0.56","0.62","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.616667","cm","0.58","0.65","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.6025","cm","0.56","0.65","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.001","cm","5.001","5.001","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.6725","cm","3.37","4.29","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.945","cm","3.77","4.12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.79714","cm","3.37","4.29","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.0255","cm","5.001","5.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.49","cm","0.45","0.52","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.513333","cm","0.49","0.55","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.504286","cm","0.45","0.55","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","MASS","Body measurements","Body mass","25.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","MASS","Body measurements","Body mass","25.3","g","25.3","25.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-F5823411","BODY","MASS_U","Body measurements","Body mass (sex unknown)","25.3","g","25.3","25.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-F5823411","BODY","TAIL_F","Body measurements","Tail length (females)","8.625","cm","8.4","8.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","TAIL_M","Body measurements","Tail length (males)","8.83333","cm","8.4","9.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","8.825","cm","8.4","9.6","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.3675","cm","1.3","1.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.347","cm","1.201","1.51","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.35263","cm","1.201","1.51","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_F","Body measurements","Wing length (females)","7.7","cm","7.5","8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","54.6667","%","53","56","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","53.5","%","52","55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","55.5","%","52","62","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","2.26667","cm","2.2","2.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","2.2","cm","2.1","2.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","2.15","cm","1.7","2.4","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_M","Body measurements","Wing length (males)","7.5","cm","7.4","7.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","5.46667","cm","5.3","5.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","5.35","cm","5.2","5.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","5.55","cm","5.2","6.2","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F5823411","BODY","WING_U","Body measurements","Wing length (sex unknown)","7.65","cm","7.4","8","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
