"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-31C66B1A","DISTRIB","ANNUAL","Species distribution","Geographical range","S Brazil (s Goiás, Distrito Federal and w Minas Gerais)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-31C66B1A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-15.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-20.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-47.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","118540.07","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31C66B1A","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-31C66B1A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","HABITAT","DESCR","Habitat","Habitat description","gallery forest, dense streamside vegetation","","","","","Sibley 1996",""
"avibase-31C66B1A","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31C66B1A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31C66B1A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-31C66B1A","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.31","cm","0.31","0.31","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.396667","cm","0.37","0.41","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.375","cm","0.31","0.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.09","cm","1.09","1.09","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.10667","cm","1.06","1.17","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.68","cm","0.68","0.68","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.696667","cm","0.65","0.73","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.6925","cm","0.65","0.73","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.1025","cm","1.06","1.17","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.24","cm","0.24","0.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.356667","cm","0.31","0.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-31C66B1A","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3275","cm","0.24","0.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
