"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3AE74F1C","DISTRIB","ANNUAL","Species distribution","Geographical range","Mountains of northeastern China in provinces of Shansi and western Chihh.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3AE74F1C","DISTRIB","ANNUAL","Species distribution","Geographical range","Montane forests of ne China (Liaoning and Shanxi)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3AE74F1C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","40.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","34.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","38.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","112.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","146706.15","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3AE74F1C","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-3AE74F1C","HABITAT","ALT","Habitat","Altitude","","m","1100","2600","-1","Birdlife's Worldbird Database",""
"avibase-3AE74F1C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AE74F1C","HABITAT","DESCR","Habitat","Habitat description","broadleaf & mixed coniferous forest, adj.scrub & grassland;mountains 1100-2600m","","","","","Sibley 1996",""
"avibase-3AE74F1C","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
