"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CFDF9E89","DISTRIB","ANNUAL","Species distribution","Geographical range","Vagrant: Seychelles (unknown origin)","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-CFDF9E89","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia, Palearctic: Middle East to se Asia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-CFDF9E89","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","37.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","89.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5475867.52","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CFDF9E89","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-CFDF9E89","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","HABITAT","DESCR","Habitat","Habitat description","Riverine","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","HABITAT","DESCR","Habitat","Habitat description","forested streams and lakes, paddyfields;lowlands-1500m","","","","","Sibley 1996",""
"avibase-CFDF9E89","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CFDF9E89","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CFDF9E89","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CFDF9E89","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.37875","cm","2.3","2.52","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.39433","cm","2.38","2.41","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.383","cm","2.3","2.52","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.98375","cm","4.33","5.3","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.94933","cm","4.85","5.088","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.10125","cm","2.71","3.37","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.825","cm","2.79","2.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CFDF9E89","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.046","cm","2.71","3.37","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
