"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4F34A55C","DISTRIB","ANNUAL","Species distribution","Geographical range","Subtropical zone of the western slope of the Eastern Andes of Colombia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-4F34A55C","DISTRIB","ANNUAL","Species distribution","Geographical range","E Andes of Colombia (Boyacá and Cundinamarca)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-4F34A55C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.42","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-73.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1022.08","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4F34A55C","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-4F34A55C","HABITAT","ALT","Habitat","Altitude","","m","1850","3400","-1","Birdlife's Worldbird Database",""
"avibase-4F34A55C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","HABITAT","DESCR","Habitat","Habitat description","humid upper subtropical & temperate forest, paramo, subparamo w.forest;Andes 1700-3400","","","","","Sibley 1996",""
"avibase-4F34A55C","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4F34A55C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4F34A55C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4F34A55C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.87","cm","1.87","1.87","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.93","cm","1.85","2.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.9125","cm","1.85","2.01","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.44","cm","2.44","2.44","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.545","cm","2.49","2.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.81","cm","1.81","1.81","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4F34A55C","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.805","cm","1.71","1.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
