"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-71A552DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Ethiopia, from the Hawash region and Harar south to the Gato River.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-71A552DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Rift Valley of Ethiopia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-71A552DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Ethiopian Rift Valley","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-71A552DA","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","3.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","38.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","DISTRIB","RANGE_SIZE","Species distribution","Total range size","52976.1","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.2","cm","1.18","1.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.29","cm","1.26","1.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.245","cm","1.18","1.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.58","cm","2.49","2.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.575","cm","2.46","2.69","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.18","cm","1.13","1.23","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.27","cm","1.18","1.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-71A552DA","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.225","cm","1.13","1.36","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
