"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-7C90F8DB","DISTRIB","ANNUAL","Species distribution","Geographical range","The Guianas to eastern Peru, Rio Punis (Cachoeira), Rio Madeira (Humaytha) to the mouth of the Amazon.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-7C90F8DB","DISTRIB","ANNUAL","Species distribution","Geographical range","SE Colombia to Guianas, s Venezuela, n Bolivia and ne Brazil","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-7C90F8DB","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-16.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-3.75","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-63.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5924779.18","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C90F8DB","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-7C90F8DB","HABITAT","ALT","Habitat","Altitude","","m","","700","-1","Birdlife's Worldbird Database",""
"avibase-7C90F8DB","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","HABITAT","DESCR","Habitat","Habitat description","humid forest, favoring varzea & floodplains, but also.terra firme near.streams & other wet places, second growth, swampy woodland, thickets;lowlands-500m","","","","","Sibley 1996",""
"avibase-7C90F8DB","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C90F8DB","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-7C90F8DB","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.495","cm","0.45","0.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-7C90F8DB","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.576","cm","0.49","0.638","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
