"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0702D924","DISTRIB","ANNUAL","Species distribution","Geographical range","Temperate zone of the Central Andes of Colombia and the Andes of Ecuador.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-0702D924","DISTRIB","ANNUAL","Species distribution","Geographical range","Central Andes of Colombia to Ecuador and extreme nw Peru","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-0702D924","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","5.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","0.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-77.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","RANGE_SIZE","Species distribution","Total range size","63339.37","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0702D924","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0702D924","HABITAT","ALT","Habitat","Altitude","","m","3000","3750","-1","Birdlife's Worldbird Database",""
"avibase-0702D924","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","HABITAT","DESCR","Habitat","Habitat description","humid forest, edge;Andes 2600-3600m","","","","","Sibley 1996",""
"avibase-0702D924","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0702D924","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0702D924","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0702D924","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.23","cm","0.22","0.24","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.24","cm","0.23","0.25","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.236","cm","0.22","0.25","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.25","cm","3.88","4.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.29","cm","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0702D924","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.3","cm","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0702D924","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.9354","cm","3.547","4.26","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.4","cm","3.39","3.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.13","cm","3.05","3.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.265","cm","3.05","3.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.07522","cm","3.547","4.44","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.245","cm","0.21","0.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.267667","cm","0.233","0.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2586","cm","0.21","0.32","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","MASS","Body measurements","Body mass","7.29","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","MASS","Body measurements","Body mass","7.6","g","7","8.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0702D924","BODY","MASS_F","Body measurements","Body mass (females)","7.4","g","7","7.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0702D924","BODY","MASS_F","Body measurements","Body mass (females)","7.8","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0702D924","BODY","MASS_M","Body measurements","Body mass (males)","8.6","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-0702D924","BODY","MASS_M","Body measurements","Body mass (males)","8.1","g","7.6","8.6","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-0702D924","BODY","TAIL_F","Body measurements","Tail length (females)","4.6","cm","4.3","4.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","TAIL_M","Body measurements","Tail length (males)","4.83","cm","4.2","5.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.72778","cm","4.2","5.1","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","TARSUS_F","Body measurements","Tarsus length (females)","0.6125","cm","0.57","0.68","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.635","cm","0.6","0.68","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.62375","cm","0.57","0.68","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_F","Body measurements","Wing length (females)","7.45","cm","7","7.67","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","27.475","%","25.7","28.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","28.925","%","27.3","31.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","28.2","%","25.7","31.1","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","4.7025","cm","4.43","4.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","5.12","cm","4.99","5.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","4.91125","cm","4.43","5.2","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_M","Body measurements","Wing length (males)","8.0125","cm","7.9","8.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","2.7475","cm","2.57","2.87","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","2.8925","cm","2.73","3.11","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","2.82","cm","2.57","3.11","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","BODY","WING_U","Body measurements","Wing length (sex unknown)","7.73125","cm","7","8.1","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0702D924","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","n","2","2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
