"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FB738385","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds from central Alaska, northern Mackenzie, Great Slave Lake, southwestern shores of Hudson Bay and western Ontario south through central British Columbia to northern Montana; south also to Alberta and Manitoba. Winters mainly in the United States and on the Pacific coast to the Aleutian and Commander Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-FB738385","DISTRIB","ANNUAL","Species distribution","Geographical range","Vagrant: 2 records Azores.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-FB738385","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","68.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","39.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","56.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-112.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4859143.91","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","DISTRIB","REALM","Species distribution","Realm","Nearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB738385","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-FB738385","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","HABITAT","DESCR","Habitat","Habitat description","Lakes and ponds, nesting in tree cavities in mixed coniferous-deciduous and deciduous woodland; in winter, bays, estuaries, lakes, and slow-moving rivers. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-FB738385","HABITAT","DESCR","Habitat","Habitat description","br pools, lakes, rivers in wooded lowland, nonbr lakes, rivers, coast","","","","","Sibley 1996",""
"avibase-FB738385","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic dive","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB738385","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB738385","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FB738385","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.96625","cm","0.895","1.06","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.0175","cm","0.966","1.074","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.991875","cm","0.895","1.074","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.682","cm","2.52","2.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.06875","cm","2.83","3.22","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.875","cm","1.8","1.95","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.9","cm","1.82","1.98","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.8875","cm","1.8","1.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.87538","cm","2.52","3.22","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.191","cm","1.08","1.364","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.38275","cm","1.32","1.437","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.28688","cm","1.08","1.437","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","MASS","Body measurements","Body mass","397.46","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","MASS","Body measurements","Body mass","400","g","334","590","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","MASS_F","Body measurements","Body mass (females)","334.75","g","334","367","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","MASS_F","Body measurements","Body mass (females)","367","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-FB738385","BODY","MASS_HATCH","Body measurements","Hatchling body mass","23.8","g","23.8","23.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","MASS_M","Body measurements","Body mass (males)","481","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-FB738385","BODY","MASS_M","Body measurements","Body mass (males)","477","g","473","487.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","MASS_U","Body measurements","Body mass (sex unknown)","400","g","334","473","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","SVL","Body measurements","Snout-to-vent length (adults)","36.5","cm","36.5","36.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FB738385","BODY","TAIL_F","Body measurements","Tail length (females)","7.45","cm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-FB738385","BODY","TAIL_F","Body measurements","Tail length (females)","5.925","cm","5.5","6.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","TAIL_M","Body measurements","Tail length (males)","7.15","cm","6.8","7.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","TAIL_M","Body measurements","Tail length (males)","6.75","cm","","","16","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-FB738385","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.5375","cm","5.5","7.5","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.83375","cm","2.72","2.97","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.18525","cm","2.97","3.369","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.0095","cm","2.72","3.369","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","WING_F","Body measurements","Wing length (females)","15.275","cm","14.2","16.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FB738385","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","78","%","71","85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
