"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-AF3E329B","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America: s Mexico to Costa Rica","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-AF3E329B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","9.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","14.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-88.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","117127.03","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AF3E329B","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-AF3E329B","HABITAT","ALT","Habitat","Altitude","","m","1000","2900","-1","Birdlife's Worldbird Database",""
"avibase-AF3E329B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","HABITAT","DESCR","Habitat","Habitat description","Montane Evergreen Forest, Pine-Oak Forest (1000-2900 m; upper Tropical and Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-AF3E329B","HABITAT","DESCR","Habitat","Habitat description","humid to semi-humid pine-oak, evergreen & cloud forest with brushy undergrowth;also second growth, partially logged forest in Costa_Rica, tongues of forest along streams on denuded hillsides;mts 500-3000m","","","","","Sibley 1996",""
"avibase-AF3E329B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AF3E329B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AF3E329B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.22","cm","1.11","1.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.0725","cm","1.04","1.12","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.925","cm","1.88","2.03","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.905","cm","0.83","1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","MASS","Body measurements","Body mass","367.39","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","MASS","Body measurements","Body mass","397","g","340","397","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-AF3E329B","BODY","MASS_F","Body measurements","Body mass (females)","340","g","340","340","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-AF3E329B","BODY","MASS_M","Body measurements","Body mass (males)","397","g","397","397","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-AF3E329B","BODY","SVL","Body measurements","Snout-to-vent length (adults)","33.5","cm","33.5","33.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-AF3E329B","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","12.25","cm","11.6","12.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.7625","cm","4.45","5.06","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AF3E329B","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","116.5","%","95","127.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
