"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5652A345","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: e Brazil","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-5652A345","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-18.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-9.81","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-42.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1195222.88","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5652A345","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5652A345","HABITAT","ALT","Habitat","Altitude","","m","","800","-1","Birdlife's Worldbird Database",""
"avibase-5652A345","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","HABITAT","DESCR","Habitat","Habitat description","inland caatinga, caatinga, open woodland, savanna;lowlands","","","","","Sibley 1996",""
"avibase-5652A345","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5652A345","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5652A345","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.09","cm","2","2.18","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.065","cm","1.96","2.18","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.26","cm","2.22","2.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.79","cm","1.68","1.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.8575","cm","1.68","2.04","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5652A345","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.325","cm","2.22","2.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
