"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-6CCDAC53","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Saibai, Batanta, New Guinea, Saonek, Grande Terre, Ile Des Pins, Maré, Manus, Misima, New Britain, New Guinea, New Ireland","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-6CCDAC53","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, savannas: throughout except Sahara Desert (ibis); Seychelles (seychellarum).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-6CCDAC53","DISTRIB","ANNUAL","Species distribution","Geographical range","Worldwide: widespread","","","","","IOC 1.05","http://worldbirdnames.org/"
"avibase-6CCDAC53","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","58.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-55.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","5.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-2.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","RANGE_SIZE","Species distribution","Total range size","62451101.72","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6CCDAC53","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-6CCDAC53","HABITAT","ALT","Habitat","Altitude","","m","","2200","-1","Birdlife's Worldbird Database",""
"avibase-6CCDAC53","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","HABITAT","DESCR","Habitat","Habitat description","Human Modified","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","HABITAT","DESCR","Habitat","Habitat description","wet fields, marshes, swamps, pastures, grassland, oft w.grazing mammals","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-6CCDAC53","HABITAT","DESCR","Habitat","Habitat description","Primarily pastures, especially where cattle or horses are actively grazing, lawns, and roadsides; occasionally in flooded fields and marshes; requires low trees and bushes for nest sites (Tropical to Temperate zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-6CCDAC53","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6CCDAC53","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6CCDAC53","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.09129","cm","0.99","1.19","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.20443","cm","1.01","1.425","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.14786","cm","0.99","1.425","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.17814","cm","5.589","7.46","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.48414","cm","5.56","7.75","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.378","cm","3.89","5.11","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.328","cm","3.98","4.72","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.353","cm","3.89","5.11","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.33114","cm","5.56","7.75","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.856","cm","0.77","0.987","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.859","cm","0.79","0.984","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.857385","cm","0.77","0.987","13","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","MASS","Body measurements","Body mass","365.95","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6CCDAC53","BODY","MASS_F","Body measurements","Body mass (females)","304","grams","","","2","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-6CCDAC53","BODY","MASS_M","Body measurements","Body mass (males)","311","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-6CCDAC53","BODY","TAIL_F","Body measurements","Tail length (females)","8.6","cm","","","20","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-6CCDAC53","BODY","TAIL_F","Body measurements","Tail length (females)","8.7","cm","7.7","11","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
