"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4ACE5613","DISTRIB","ANNUAL","Species distribution","Geographical range","Caucasus Mountains to ne Turkey and nw Iran","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-4ACE5613","DISTRIB","ANNUAL","Species distribution","Geographical range","The Caucasus between elevations of 5000 and 9000 feet.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-4ACE5613","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","44.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","38.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","42.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","44.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","RANGE_SIZE","Species distribution","Total range size","104757.72","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4ACE5613","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-4ACE5613","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","HABITAT","DESCR","Habitat","Habitat description","forest and medows of Caucasus and transition between two habitats at 1500-300m;winters down to 700;in summer on alpine & subalpine meadows above treeline in shrubby vegetation(dwarf willow, birch, rhododendron)","","","","","Sibley 1996",""
"avibase-4ACE5613","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4ACE5613","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4ACE5613","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore terrestrial","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore terrestrial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4ACE5613","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.07","cm","1.07","1.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.126","cm","1.098","1.16","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.1036","cm","1.07","1.16","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.785","cm","2.75","2.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.25","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4ACE5613","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.36","cm","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-4ACE5613","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.76133","cm","2.694","2.81","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.44","cm","1.43","1.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.36","cm","1.33","1.39","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.4","cm","1.33","1.45","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.7708","cm","2.694","2.82","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.12","cm","1.12","1.12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.138","cm","1.044","1.21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.1308","cm","1.044","1.21","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4ACE5613","BODY","MASS","Body measurements","Body mass","813.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
