"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-497B576C","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: c","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-497B576C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-15.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-32.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-23.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-60.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1171806.84","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-497B576C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-497B576C","HABITAT","ALT","Habitat","Altitude","","m","","1200","-1","Birdlife's Worldbird Database",""
"avibase-497B576C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","HABITAT","DESCR","Habitat","Habitat description","chaco, monte scrub, swampland, subtropical dry forest;lowlands","","","","","Sibley 1996",""
"avibase-497B576C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-497B576C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-497B576C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.941667","cm","0.86","1.03","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.1","cm","0.98","1.25","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.994444","cm","0.86","1.25","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.545","cm","2.08","3.1","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.44333","cm","1.98","3.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-497B576C","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.36333","cm","1.22","1.6","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
