"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D9638667","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Sol, Boigu, Darnley, Dauan, Massig, Murray, Saibai, Ugar, Kai, Misool, New Guinea, Waigeo, Grande Terre, Baluan, Daru, Djaul, Duke of York, Feni, Fergusson, Goodenough, Karkar, Kiriwina, Lihir, Lolobau, Long, Manus, Misima, Motupore, Mussau, New Guinea, New Britain, New Hanover, New Ireland, Normanby, Sakar, San Miguel, Sudest, Tabar, Tanga, Umboi, Vuatom, Wagifa, Rennell, Savo, Tetipari","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-D9638667","DISTRIB","ANNUAL","Species distribution","Geographical range","Sulawesi to n and e Australia; winters to Moluccas, New Guinea","","","","","Clements 6","http://www.birds.cornell.edu/clementschecklist"
"avibase-D9638667","DISTRIB","ANNUAL","Species distribution","Geographical range","Lesser Sunda Islands from Flores eastward; Talaut Islands; Celebes; Tukang Besi Islands; the Moluccas; Tenimber and Kei Islands; Aru Islands; New Guinea; Bismarck Archipelago; northern and eastern Australia. It is not known whether it breeds throughout its range, but is known to breed on Flores, Babar, Celebes, Vuatom and in parts of Aus- tralia; migratory in southeastern Australia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-D9638667","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-42.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","139.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2375285.46","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D9638667","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-D9638667","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","HABITAT","DESCR","Habitat","Habitat description","canopy of variety of forests that usually support figs, often near watercourses;tropical & subtropical rainforest, gallery forest, wet & dry Sclerophyll forest, woodlands, gardens","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-D9638667","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D9638667","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D9638667","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D9638667","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","3.02","cm","2.7","3.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.21833","cm","2.75","3.58","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","3.139","cm","2.7","3.58","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","7.665","cm","6.75","8.58","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","7.45","cm","","","13","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","8.64","cm","","","20","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","8.68233","cm","7.12","9.707","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","6.095","cm","5.33","6.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","6.52","cm","5.59","7.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","6.3075","cm","5.33","7.45","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","8.2754","cm","6.75","9.707","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","2.615","cm","2.42","2.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","2.70033","cm","2.4","2.87","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","2.6662","cm","2.4","2.87","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","MASS","Body measurements","Body mass","683.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","MASS","Body measurements","Body mass","684.1","g","684","747.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D9638667","BODY","MASS_F","Body measurements","Body mass (females)","660","g","660","660","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D9638667","BODY","MASS_F","Body measurements","Body mass (females)","660","grams","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","MASS_M","Body measurements","Body mass (males)","708.2","grams","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","MASS_M","Body measurements","Body mass (males)","708.2","g","708.2","708.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D9638667","BODY","MASS_U","Body measurements","Body mass (sex unknown)","715.75","g","684","747.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D9638667","BODY","TAIL_F","Body measurements","Tail length (females)","26.28","cm","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","TAIL_F","Body measurements","Tail length (females)","26.4","cm","25.3","27.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","TAIL_M","Body measurements","Tail length (males)","27.4","cm","25.8","29.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","TAIL_M","Body measurements","Tail length (males)","26.65","cm","","","21","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D9638667","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","27","cm","25.3","29.9","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D9638667","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.455","cm","4.27","4.64","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
