"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-61F0E581","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, salt pans, lagoons and coast, rarely on freshwater: Rift Valley soda lakes (venustus); SW Angola around south coast to Mozambique and inland N Namibia, N Botswana, N South Africa (pallidus).","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-61F0E581","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: inland and coastal e, s Africa","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-61F0E581","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-23.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","25.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","RANGE_SIZE","Species distribution","Total range size","480800.22","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61F0E581","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-61F0E581","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","HABITAT","DESCR","Habitat","Habitat description","saline pans, alkaline lakes, coastal lagoons, estuaries;rarely in freshwater habitats","","","","","Sibley 1996",""
"avibase-61F0E581","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61F0E581","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61F0E581","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61F0E581","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.315","cm","0.29","0.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.350667","cm","0.32","0.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3364","cm","0.29","0.4","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61F0E581","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.61","cm","1.6","1.62","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
