"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-768C2230","DISTRIB","ANNUAL","Species distribution","Geographical range","Hills north of the Brahmapootra from Sikkim and Bhutan to eastern Assam.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-768C2230","DISTRIB","ANNUAL","Species distribution","Geographical range","Coniferous foothill forests of Sikkim to se Tibet","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-768C2230","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","29.26","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","26.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","27.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","92.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","RANGE_SIZE","Species distribution","Total range size","66965.36","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-768C2230","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-768C2230","HABITAT","ALT","Habitat","Altitude","","m","350","2500","-1","Birdlife's Worldbird Database",""
"avibase-768C2230","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","HABITAT","DESCR","Habitat","Habitat description","undergrowth in evergreen(oak-rhododendron)forest;prefers dense/secondary moist subtropical valley forest with thick undergrowth, esp.bamboo, by streams & within ravines; mainly 900-1800m, from 350-2450m","","","","","Sibley 1996",""
"avibase-768C2230","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-768C2230","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-768C2230","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.65","cm","0.59","0.71","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.649333","cm","0.618","0.67","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.6496","cm","0.59","0.71","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.185","cm","2.12","2.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.23633","cm","2.14","2.309","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.85","cm","0.8","0.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.85","cm","0.82","0.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.85","cm","0.8","0.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.2158","cm","2.12","2.309","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.465","cm","0.46","0.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-768C2230","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.462333","cm","0.45","0.48","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
