"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5A1EC393","DISTRIB","ANNUAL","Species distribution","Geographical range","Coast of northern Chile.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5A1EC393","DISTRIB","ANNUAL","Species distribution","Geographical range","Arid s Peru (Tacna and Moquegua) to n Chile (Arica)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-5A1EC393","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-18.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-20.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-18.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-70","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2154.61","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5A1EC393","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-5A1EC393","HABITAT","ALT","Habitat","Altitude","","m","","2600","-1","Birdlife's Worldbird Database",""
"avibase-5A1EC393","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","HABITAT","DESCR","Habitat","Habitat description","small remnant patches of native scrub in desert river valleys to 750m","","","","","Sibley 1996",""
"avibase-5A1EC393","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5A1EC393","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5A1EC393","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5A1EC393","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.1","cm","0.09","0.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.0963333","cm","0.09","0.109","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.0978","cm","0.09","0.11","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.495","cm","1.45","1.54","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.43167","cm","1.26","1.685","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.14","cm","1.11","1.17","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.96","cm","0.92","1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.05","cm","0.92","1.17","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.457","cm","1.26","1.685","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.135","cm","0.13","0.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.130333","cm","0.1","0.181","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.1322","cm","0.1","0.181","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","MASS","Body measurements","Body mass","2.5","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5A1EC393","BODY","TAIL_F","Body measurements","Tail length (females)","2.7","cm","2.7","2.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
