"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8DC52868","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: se Asia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-8DC52868","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","30.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","9.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.91","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","106.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2072227.73","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8DC52868","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-8DC52868","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","HABITAT","DESCR","Habitat","Habitat description","dry open forest & scrub;grassland & margins of cultivated areas;low oak scrub in Himalayan foothills;grassy openings in dipterocarp forest in rolling country.","","","","","Sibley 1996",""
"avibase-8DC52868","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8DC52868","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8DC52868","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.995","cm","0.98","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.03433","cm","0.983","1.09","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.0186","cm","0.98","1.09","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.49","cm","2.33","2.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.83","cm","2.75","2.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.385","cm","1.34","1.43","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8DC52868","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.55","cm","1.47","1.63","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
