"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-759C5EB8","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: s, se Asia from Pakistan, s to Sri Lanka, e to Laos and n to sw Yunnan","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-759C5EB8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","32.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","8.07","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","21.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","88.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5228716.82","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-759C5EB8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","HABITAT","DESCR","Habitat","Habitat description","shallow freshwater lakes, marshes w much vegetation, less often rivers","","","","","Sibley 1996",""
"avibase-759C5EB8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.555","cm","1.5","1.61","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.57133","cm","1.524","1.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.5648","cm","1.5","1.61","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6","cm","5.95","6.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.32267","cm","5.9","6.538","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.915","cm","3.9","3.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-759C5EB8","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.265","cm","4.17","4.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
