"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-158BDC90","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds locally in southern Europe from Portugal to the lower Danube, the Caucasus and southern Urals to northeastern Tibet and eastern China, south to northern Morocco, Asia Minor and the Himalayas.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-158BDC90","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor: Nile Valley.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-158BDC90","DISTRIB","ANNUAL","Species distribution","Geographical range","Mediterranean basin environs to e Asia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-158BDC90","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","54.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","25.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","41.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","87.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7718571.19","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-158BDC90","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-158BDC90","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","HABITAT","DESCR","Habitat","Habitat description","deserts, semi-deserts, plains, mountains, forest clearings","","","","","Sibley 1996",""
"avibase-158BDC90","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Scavenger ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-158BDC90","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Scavenger","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-158BDC90","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Scavenger","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Scavenger","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Scavenger","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-158BDC90","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","4.02","cm","3.92","4.12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.945","cm","3.85","4.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","3.9825","cm","3.85","4.12","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-158BDC90","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","8.81","cm","8.75","8.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
