"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CBDC8AA3","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, Salawati","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-CBDC8AA3","DISTRIB","ANNUAL","Species distribution","Geographical range","Vagrant: Seychelles.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-CBDC8AA3","DISTRIB","ANNUAL","Species distribution","Geographical range","India to SE Asia, Philippines and Indonesia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-CBDC8AA3","DISTRIB","ANNUAL","Species distribution","Geographical range","China from Manchuria to Hainan; Riu Kiu Islands; Formosa; India and Ceylon, Andamans and Nicobars, Philippines, Sunda Islands and Celebes.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-CBDC8AA3","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","43.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","19.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","105.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7931366.43","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBDC8AA3","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-CBDC8AA3","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","HABITAT","DESCR","Habitat","Habitat description","Human Modified","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","HABITAT","DESCR","Habitat","Habitat description","swamps, marshes, reedbeds, flooded fields;lowlands-1800m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-CBDC8AA3","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBDC8AA3","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBDC8AA3","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBDC8AA3","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.02","cm","0.99","1.05","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.0625","cm","1.03","1.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.05629","cm","0.99","1.104","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.2","cm","6.07","6.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.89","cm","5.63","6.2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.17","cm","4.06","4.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.945","cm","3.86","4.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.0575","cm","3.86","4.28","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.87214","cm","5.145","6.33","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.665","cm","0.63","0.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBDC8AA3","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.65","cm","0.53","0.72","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
