"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-03BCD297","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, PNG, Boigu, Dauan, Saibai, Aru, New Guinea, Daru, New Guinea","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-03BCD297","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: Aru Is. (sw of New Guinea), wc, n, sc, se New Guinea and Boigu and Saibai (n Torres Strait is., far ne Australia)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-03BCD297","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","140.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","RANGE_SIZE","Species distribution","Total range size","281060.32","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03BCD297","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-03BCD297","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","HABITAT","DESCR","Habitat","Habitat description","primary forest bordering rivers, swamp forest, woodland nr lakes;lowlds","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-03BCD297","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03BCD297","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03BCD297","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03BCD297","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.78","cm","0.63","0.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.69","cm","0.62","0.76","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.718833","cm","0.593","0.9","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.82","cm","2.7","3.04","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.89","cm","2.84","2.94","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.60333","cm","1.53","1.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.52","cm","1.52","1.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.57","cm","1.52","1.7","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.84167","cm","2.7","3.04","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.883333","cm","0.71","1.01","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.72","cm","0.58","0.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.781","cm","0.58","1.01","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","MASS","Body measurements","Body mass","610","g","540","612","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-03BCD297","BODY","MASS","Body measurements","Body mass","574.87","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","MASS_F","Body measurements","Body mass (females)","540","g","540","540","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-03BCD297","BODY","MASS_M","Body measurements","Body mass (males)","611","g","610","612","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-03BCD297","BODY","TAIL_F","Body measurements","Tail length (females)","13.0667","cm","13","13.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","TAIL_M","Body measurements","Tail length (males)","14.2","cm","14.1","14.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","13.8167","cm","13","15.3","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.9","cm","2.67","3.29","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.31","cm","3.22","3.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.11217","cm","2.67","3.4","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_F","Body measurements","Wing length (females)","23.2","cm","22.9","23.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","167.833","%","164.8","170.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","175.3","%","170.2","180.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","170.82","%","164.8","180.4","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","6.41667","cm","6.15","6.68","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","6.22","cm","5.76","6.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","6.338","cm","5.76","6.68","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_M","Body measurements","Wing length (males)","23.75","cm","23.7","23.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","16.7833","cm","16.48","17.05","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","17.53","cm","17.02","18.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03BCD297","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","17.082","cm","16.48","18.04","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
