"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-6D419BE7","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Colombia, eastern Ecuador and northeastern Peru, eastward through southern Venezuela and northern Brazil (both banks of the Amazon) to Cayenne and Belem.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-6D419BE7","DISTRIB","ANNUAL","Species distribution","Geographical range","SE Colombia to e Peru, Guianas, Amaz. Brazil and Mato Grosso","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-6D419BE7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","8.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-2.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-63.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5454915.04","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6D419BE7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-6D419BE7","HABITAT","ALT","Habitat","Altitude","","m","","1100","-1","Birdlife's Worldbird Database",""
"avibase-6D419BE7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","HABITAT","DESCR","Habitat","Habitat description","humid terra firme forest;lowlands-1000m","","","","","Sibley 1996",""
"avibase-6D419BE7","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6D419BE7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6D419BE7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-6D419BE7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.2975","cm","1.21","1.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.2495","cm","1.249","1.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.2815","cm","1.21","1.4","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.311","cm","2.92","3.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.7275","cm","3.7","3.755","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.14333","cm","1.98","2.34","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.35","cm","2.35","2.35","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.195","cm","1.98","2.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.44983","cm","2.92","3.755","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.068","cm","1.01","1.122","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.256","cm","1.162","1.35","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.13067","cm","1.01","1.35","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","MASS","Body measurements","Body mass","54","g","54","54","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-6D419BE7","BODY","MASS","Body measurements","Body mass","54","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-6D419BE7","BODY","MASS_U","Body measurements","Body mass (sex unknown)","54","g","54","54","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
