"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-18B415D2","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds in Scotland, Norway, Sweden and Russia south to St. Peters- burg, Kazan and Ufa and across northern Asia to Kamchatka, south to about lat. 55Â° N. Winters in the Mediterranean countries, Africa, India, Ceylon, Burma, southern China, Indo-Chinese countries, Japan, Formosa, Hainan, Philippines and Sunda Islands eastward to Australia and New Zealand.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-18B415D2","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Sol, Aureed, Boigu, Dauan, Darnley, Mabuiag, Massig, Poruma, Saibai, Ugar, Warraber, Yam, Zuizin, New Guinea, Pulu Adi, Grande Terre, Bougainville, Buka, New Britain, New Guinea, New Hanover, Kerehikapo, Ontong Java, Santa Isabel","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-18B415D2","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, most wetlands inland and coast: everywhere except Sahara desert, and including islands.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-18B415D2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","70.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","49.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","60.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","88.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","12134126.53","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-18B415D2","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
