"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-655DC3C0","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic winter visitor, mostly at sea: Morocco - Mauritania in Atlantic, occasional east to Tunisia.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-655DC3C0","DISTRIB","ANNUAL","Species distribution","Geographical range","Holarctic; extensive s movement in winter","","","","","Clements 2004",""
"avibase-655DC3C0","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-655DC3C0","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-655DC3C0","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic dive","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-655DC3C0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-655DC3C0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-655DC3C0","BODY","MASS_F","Body measurements","Body mass (females)","800","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","BODY","MASS_M","Body measurements","Body mass (males)","1100","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","BODY","TAIL_F","Body measurements","Tail length (females)","7.47","cm","","","24","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","BODY","TAIL_M","Body measurements","Tail length (males)","9.23","cm","","","39","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","EGGS","MASS","Eggs","Egg mass","72","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","REPROD","CLUTCHSZ","Reproduction","Clutch size","6.8","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-655DC3C0","REPROD","CLUTCHSZ","Reproduction","Clutch size","5-11","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-655DC3C0","REPROD","FLEDGING","Reproduction","Fledging period","45-50","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-655DC3C0","REPROD","INCUBATION","Reproduction","Incubation period","30-31","","","","","http://www.birdzilla.com","http://www.birdzilla.com/"
"avibase-655DC3C0","REPROD","SYSTEM","Reproduction","Reproductive system","monogamy (<5% polygyny)","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
