"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-05BBFC8E","DISTRIB","ANNUAL","Species distribution","Geographical range","Comoro Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-05BBFC8E","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, evergreen forest especially high altitude: Comoro Is.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-05BBFC8E","DISTRIB","ANNUAL","Species distribution","Geographical range","Mainly high elevation evergreen forests of Comoro Islands","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-05BBFC8E","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-11.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","43.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2057.52","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-05BBFC8E","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-05BBFC8E","HABITAT","ALT","Habitat","Altitude","","m","","1750","-1","Birdlife's Worldbird Database",""
"avibase-05BBFC8E","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-05BBFC8E","HABITAT","DESCR","Habitat","Habitat description","evergreen forest","","","","","Sibley 1996",""
"avibase-05BBFC8E","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
