"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8FBB6521","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Venezuela and Trinidad and Tobago","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-8FBB6521","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.75","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","8.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-65.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","RANGE_SIZE","Species distribution","Total range size","434771.48","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8FBB6521","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-8FBB6521","HABITAT","ALT","Habitat","Altitude","","m","","1800","-1","Birdlife's Worldbird Database",""
"avibase-8FBB6521","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","HABITAT","DESCR","Habitat","Habitat description","forest, edge, 2growth, savanna, thornscrub, towns;lowlands-1800m","","","","","Sibley 1996",""
"avibase-8FBB6521","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8FBB6521","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8FBB6521","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8FBB6521","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.198","cm","0.17","0.23","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.198","cm","0.17","0.23","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.7","cm","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8FBB6521","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.83","cm","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8FBB6521","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.1902","cm","1.99","2.361","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.625","cm","1.48","1.71","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.625","cm","1.48","1.71","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.1902","cm","1.99","2.361","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8FBB6521","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.2298","cm","0.18","0.27","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
