"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3AA14D7D","DISTRIB","ANNUAL","Species distribution","Geographical range","Temperate zone of the Andes of Me&gt;ida, Venezuela and the Eastern Andes of Colombia. 1","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3AA14D7D","DISTRIB","ANNUAL","Species distribution","Geographical range","E Andes of Colombia and nw Venezuela (Mérida)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3AA14D7D","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.28","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-72.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","RANGE_SIZE","Species distribution","Total range size","49722.37","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3AA14D7D","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-3AA14D7D","HABITAT","ALT","Habitat","Altitude","","m","1950","3200","-1","Birdlife's Worldbird Database",""
"avibase-3AA14D7D","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","HABITAT","DESCR","Habitat","Habitat description","forest, edge, low shrubby slopes;Andes 1950-3000m","","","","","Sibley 1996",""
"avibase-3AA14D7D","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3AA14D7D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3AA14D7D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3AA14D7D","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.173","cm","0.16","0.186","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.1712","cm","0.14","0.22","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.1735","cm","1.98","2.367","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.59","cm","1.59","1.59","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.6625","cm","1.59","1.77","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3AA14D7D","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.1294","cm","1.98","2.367","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
