"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-423FF2C5","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Peru","","","","","IOC 2","http://worldbirdnames.org/"
"avibase-423FF2C5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-14.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-11.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-74.07","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","44638.55","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.255","cm","0.24","0.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.26","cm","0.23","0.29","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2575","cm","0.23","0.29","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.395","cm","2.38","2.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-423FF2C5","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.365","cm","2.28","2.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
