"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B2EEE0EA","DISTRIB","ANNUAL","Species distribution","Geographical range","Formerly Siberia and Korea. Extinct; last reported 1916","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-B2EEE0EA","DISTRIB","ANNUAL","Species distribution","Geographical range","Known only from three (to 1930) specimens, two from Korea and one from near Vladivostok. Possibly a hybrid.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-B2EEE0EA","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","42.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","42.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","42.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","131.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","DISTRIB","MIGRATION","Species distribution","Migration strategy","","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4.61","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B2EEE0EA","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","HABITAT","DESCR","Habitat","Habitat description","NA","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","HABITAT","DESCR","Habitat","Habitat description","recorded mainly in coastal localities, often near mouth of river;also on forest rivers.May survive Changbai Shan and Greater Xingan Mts","","","","","Sibley 1996",""
"avibase-B2EEE0EA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","NA","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","NA","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.32","cm","1.32","1.32","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.32","cm","1.32","1.32","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.86","cm","4.86","4.86","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.86","cm","4.86","4.86","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.62","cm","1.62","1.62","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.62","cm","1.62","1.62","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","MASS","Body measurements","Body mass","1235","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","TAIL_F","Body measurements","Tail length (females)","11.3","cm","11.3","11.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","11.3","cm","11.3","11.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B2EEE0EA","BODY","TARSUS_F","Body measurements","Tarsus length (females)","11.3","cm","11.3","11.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
