"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DBD188EF","DISTRIB","ANNUAL","Species distribution","Geographical range","Rainforests of e Madagascar","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DBD188EF","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, mid-level and montane forest, often on ridges: E Madagascar.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-DBD188EF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-25.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-18.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","48.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","115073.28","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DBD188EF","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-DBD188EF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","HABITAT","DESCR","Habitat","Habitat description","montane forest","","","","","Sibley 1996",""
"avibase-DBD188EF","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DBD188EF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DBD188EF","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DBD188EF","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.28","cm","0.28","0.28","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.28","cm","0.28","0.28","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.28","cm","0.28","0.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.41","cm","1.41","1.41","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.32","cm","1.32","1.32","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.79","cm","0.79","0.79","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.67","cm","0.67","0.67","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.73","cm","0.67","0.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.365","cm","1.32","1.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.23","cm","0.23","0.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.26","cm","0.26","0.26","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.245","cm","0.23","0.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","MASS","Body measurements","Body mass","8.6","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","MASS","Body measurements","Body mass","8.575","g","8.55","8.6","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DBD188EF","BODY","MASS_U","Body measurements","Body mass (sex unknown)","8.575","g","8.55","8.6","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DBD188EF","BODY","TAIL_F","Body measurements","Tail length (females)","4.71","cm","4.71","4.71","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","TAIL_M","Body measurements","Tail length (males)","4.64","cm","4.64","4.64","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.675","cm","4.64","4.71","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.73","cm","1.73","1.73","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.68","cm","1.68","1.68","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.705","cm","1.68","1.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_F","Body measurements","Wing length (females)","4.9","cm","4.9","4.9","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","43","%","43","43","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","44.2","%","44.2","44.2","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","43.6","%","43","44.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.6","cm","0.6","0.6","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.68","cm","0.68","0.68","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.64","cm","0.6","0.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DBD188EF","BODY","WING_M","Body measurements","Wing length (males)","5.1","cm","5.1","5.1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
